,element,count,ncif,min,max,mean,stddev,e1,e2,z1,z2
2181,Ba-Tl,1,1,2.7835,2.7835,2.783,0.0,Ba,Tl,56,81
2182,Br-Tl,80,17,2.4574,3.0906,2.691,0.146,Br,Tl,35,81
2183,C-Tl,65,31,2.0848,2.6349,2.233,0.151,C,Tl,6,81
2184,Ca-Tl,10,8,2.6654,3.3943,3.237,0.214,Ca,Tl,20,81
2185,Cd-Tl,5,5,3.2427,3.405,3.295,0.063,Cd,Tl,48,81
2186,Ce-Tl,4,3,3.2846,3.5433,3.364,0.104,Ce,Tl,58,81
2187,Cl-Tl,89,25,2.0665,2.8678,2.542,0.125,Cl,Tl,17,81
2188,Co-Tl,9,3,2.5437,2.9337,2.755,0.165,Co,Tl,27,81
2189,Cs-Tl,3,1,3.1143,3.7172,3.353,0.262,Cs,Tl,55,81
2190,Cu-Tl,5,4,3.026,3.1267,3.092,0.038,Cu,Tl,29,81
2191,Dy-Tl,4,3,3.2199,3.4833,3.318,0.104,Dy,Tl,66,81
2192,Er-Tl,4,4,3.2078,3.2958,3.233,0.036,Er,Tl,68,81
2193,Eu-Tl,4,4,3.3361,3.4821,3.399,0.063,Eu,Tl,63,81
2194,F-Tl,400,121,1.8937,3.126,2.876,0.224,F,Tl,9,81
2195,Fe-Tl,15,5,2.5503,3.0227,2.677,0.113,Fe,Tl,26,81
2196,Gd-Tl,8,7,3.255,3.5429,3.351,0.103,Gd,Tl,64,81
2197,Ge-Tl,14,4,2.6492,3.1332,3.018,0.123,Ge,Tl,32,81
2198,H-Tl,7,2,1.5873,1.913,1.77,0.109,H,Tl,1,81
2199,Hg-Tl,6,4,3.0625,3.2697,3.132,0.081,Hg,Tl,80,81
2200,Ho-Tl,4,4,3.2195,3.2994,3.244,0.033,Ho,Tl,67,81
2201,I-Tl,156,40,2.5344,3.776,3.433,0.313,I,Tl,53,81
2202,La-Tl,12,11,3.3107,3.7393,3.535,0.162,La,Tl,57,81
2203,Lu-Tl,2,2,3.2796,3.2902,3.285,0.005,Lu,Tl,71,81
2204,Mg-Tl,10,8,2.8943,3.148,2.994,0.081,Mg,Tl,12,81
2205,Mn-Tl,1,1,3.0981,3.0981,3.098,0.0,Mn,Tl,25,81
2206,N-Tl,224,101,2.1366,2.6313,2.497,0.123,N,Tl,7,81
2207,Na-Tl,26,19,3.1311,3.3854,3.263,0.069,Na,Tl,11,81
2208,Nb-Tl,1,1,2.9611,2.9611,2.961,0.0,Nb,Tl,41,81
2209,Nd-Tl,10,8,3.2959,3.6141,3.448,0.103,Nd,Tl,60,81
2210,Ni-Tl,3,3,2.6764,3.0706,2.884,0.162,Ni,Tl,28,81
2211,O-Tl,3075,617,1.8569,3.0759,2.713,0.277,O,Tl,8,81
2212,P-Tl,21,8,2.7726,2.9919,2.918,0.067,P,Tl,15,81
2213,Pd-Tl,133,38,2.3795,3.256,2.884,0.135,Pd,Tl,46,81
2214,Pr-Tl,4,4,2.667,3.4898,3.25,0.341,Pr,Tl,59,81
2215,Pt-Tl,99,52,2.5731,3.2305,2.907,0.139,Pt,Tl,78,81
2216,Re-Tl,2,1,3.1956,3.2333,3.214,0.019,Re,Tl,75,81
2217,Rh-Tl,3,2,2.7384,2.7707,2.759,0.015,Rh,Tl,45,81
2218,S-Tl,1290,175,2.0514,3.3531,3.145,0.166,S,Tl,16,81
2219,Sb-Tl,24,13,2.5935,3.3826,3.059,0.18,Sb,Tl,51,81
2220,Se-Tl,117,39,2.4654,3.1138,2.926,0.187,Se,Tl,34,81
2221,Sm-Tl,11,8,3.2483,3.5754,3.391,0.114,Sm,Tl,62,81
2222,Sn-Tl,2,1,3.3643,3.3643,3.364,0.0,Sn,Tl,50,81
2223,Sr-Tl,8,2,2.6886,3.0348,2.864,0.148,Sr,Tl,38,81
2224,Tb-Tl,10,7,3.2,3.5208,3.326,0.106,Tb,Tl,65,81
2225,Te-Tl,52,23,2.8378,3.3439,3.188,0.124,Te,Tl,52,81
2226,Tl-Tl,84,57,2.4566,3.48,3.202,0.257,Tl,Tl,81,81
2227,Tl-Tm,4,4,3.1783,3.3151,3.25,0.056,Tl,Tm,69,81
2228,Tl-W,1,1,3.0373,3.0373,3.037,0.0,Tl,W,74,81
2229,Tl-Y,6,6,3.204,3.3128,3.269,0.043,Tl,Y,39,81
2230,Tl-Yb,17,6,3.1859,3.5589,3.358,0.112,Tl,Yb,70,81
2231,Tl-Zn,3,2,2.3454,2.9286,2.729,0.271,Tl,Zn,30,81
2232,Ag-Tm,4,4,2.9735,3.0744,3.001,0.042,Ag,Tm,47,69
2233,Al-Tm,75,6,2.4007,3.1647,2.651,0.195,Al,Tm,13,69
2234,As-Tm,18,6,2.7921,3.0303,2.926,0.072,As,Tm,33,69
2235,B-Tm,18,10,2.4322,2.786,2.673,0.076,B,Tm,5,69
2236,Ba-Tm,4,4,3.3603,3.4235,3.403,0.025,Ba,Tm,56,69
2237,Br-Tm,1,1,2.756,2.756,2.756,0.0,Br,Tm,35,69
2238,C-Tm,461,58,1.9927,2.7456,2.572,0.131,C,Tm,6,69
2239,Cd-Tm,5,4,3.0926,3.2683,3.166,0.057,Cd,Tm,48,69
2240,Cl-Tm,21,13,2.5143,2.8366,2.654,0.099,Cl,Tm,17,69
2241,Co-Tm,14,8,2.7925,3.1945,3.009,0.118,Co,Tm,27,69
2242,Cu-Tm,16,13,2.6901,3.2188,3.033,0.142,Cu,Tm,29,69
2243,F-Tm,36,3,2.1216,2.2978,2.218,0.056,F,Tm,9,69
2244,Fe-Tm,27,12,2.8243,3.1961,3.073,0.103,Fe,Tm,26,69
2245,Ga-Tm,22,13,2.8141,3.2137,3.008,0.09,Ga,Tm,31,69
2246,Ge-Tm,63,27,2.5614,3.2719,2.963,0.12,Ge,Tm,32,69
2247,H-Tm,2,2,1.675,2.204,1.94,0.265,H,Tm,1,69
2248,I-Tm,21,14,2.8697,3.2852,3.033,0.128,I,Tm,53,69
2249,In-Tm,27,18,2.8602,3.493,3.212,0.143,In,Tm,49,69
2250,Mg-Tm,7,6,3.1436,3.4203,3.258,0.083,Mg,Tm,12,69
2251,Mn-Tm,5,4,3.0676,3.1855,3.115,0.054,Mn,Tm,25,69
2252,Mo-Tm,3,1,3.1818,3.3193,3.273,0.064,Mo,Tm,42,69
2253,N-Tm,348,91,1.9675,2.696,2.455,0.134,N,Tm,7,69
2254,Na-Tm,1,1,3.4639,3.4639,3.464,0.0,Na,Tm,11,69
2255,Nb-Tm,1,1,3.4005,3.4005,3.4,0.0,Nb,Tm,41,69
2256,Nd-Tm,2,1,3.5477,3.5477,3.548,0.0,Nd,Tm,60,69
2257,Ni-Tm,74,35,2.4863,3.194,2.959,0.128,Ni,Tm,28,69
2258,O-Tm,2121,313,1.9643,2.6981,2.327,0.093,O,Tm,8,69
2259,P-Tm,25,11,2.8118,3.0875,2.915,0.081,P,Tm,15,69
2260,Pd-Tm,18,14,2.8143,3.2275,2.977,0.127,Pd,Tm,46,69
2261,Rh-Tm,9,7,2.9081,3.2464,3.005,0.101,Rh,Tm,45,69
2262,Ru-Tm,3,3,3.1183,3.2269,3.164,0.046,Ru,Tm,44,69
2263,S-Tm,186,38,2.5368,3.0953,2.758,0.101,S,Tm,16,69
2264,Sb-Tm,14,8,2.9515,3.227,3.109,0.08,Sb,Tm,51,69
2265,Se-Tm,36,13,2.7699,3.0515,2.847,0.063,Se,Tm,34,69
2266,Si-Tm,27,12,2.8243,3.1447,3.013,0.09,Si,Tm,14,69
2267,Sn-Tm,31,10,2.9751,3.4695,3.182,0.127,Sn,Tm,50,69
2268,Te-Tm,30,14,2.9747,3.3975,3.097,0.132,Te,Tm,52,69
2269,Tm-Tm,98,51,2.6143,3.6719,3.416,0.229,Tm,Tm,69,69
2270,Tm-V,1,1,3.1,3.1,3.1,0.0,Tm,V,23,69
2271,Tm-Zn,97,12,2.8599,3.3115,3.099,0.095,Tm,Zn,30,69
2272,B-U,88,37,2.4277,2.8665,2.702,0.114,B,U,5,92
2273,Br-U,113,53,2.5805,3.0619,2.83,0.078,Br,U,35,92
2274,C-U,3231,533,1.7141,2.809,2.683,0.111,C,U,6,92
2275,Cl-U,803,296,2.4065,2.9447,2.701,0.088,Cl,U,17,92
2276,Co-U,3,3,2.4727,2.6627,2.595,0.087,Co,U,27,92
2277,Cr-U,2,1,2.2734,2.3069,2.29,0.017,Cr,U,24,92
2278,Cu-U,1,1,2.4073,2.4073,2.407,0.0,Cu,U,29,92
2279,F-U,755,156,1.5325,2.4179,2.284,0.095,F,U,9,92
2280,Fe-U,3,3,2.1758,2.6741,2.387,0.21,Fe,U,26,92
2281,Ga-U,4,1,2.6119,2.6717,2.64,0.028,Ga,U,31,92
2282,H-U,3,3,1.5362,1.6652,1.62,0.059,H,U,1,92
2283,I-U,397,164,2.0786,3.4912,3.109,0.128,I,U,53,92
2284,Ir-U,10,2,2.4852,2.8064,2.687,0.123,Ir,U,77,92
2285,K-U,1,1,2.529,2.529,2.529,0.0,K,U,19,92
2286,N-U,4576,1334,1.8011,2.7387,2.449,0.186,N,U,7,92
2287,Nd-U,5,1,3.1686,3.2258,3.195,0.023,Nd,U,60,92
2288,Ni-U,4,3,2.4136,2.6552,2.512,0.088,Ni,U,28,92
2289,O-U,9862,2589,1.5108,2.1711,1.825,0.113,O,U,8,92
2290,Os-U,2,2,2.5476,2.5703,2.559,0.011,Os,U,76,92
2291,Pb-U,1,1,2.324,2.324,2.324,0.0,Pb,U,82,92
2292,Pd-U,2,2,2.8089,2.815,2.812,0.003,Pd,U,46,92
2293,Pt-U,8,3,2.6856,2.8431,2.771,0.046,Pt,U,78,92
2294,Rh-U,3,3,2.6258,2.763,2.716,0.064,Rh,U,45,92
2295,S-U,789,209,1.9539,3.0779,2.81,0.124,S,U,16,92
2296,Sb-U,1,1,2.46,2.46,2.46,0.0,Sb,U,51,92
2297,Se-U,6,4,2.4561,2.6463,2.563,0.059,Se,U,34,92
2298,Si-U,1,1,2.5644,2.5644,2.564,0.0,Si,U,14,92
2299,Sn-U,2,2,2.7645,2.7743,2.769,0.005,Sn,U,50,92
2300,Te-U,5,2,2.3896,2.8851,2.78,0.195,Te,U,52,92
2301,U-U,3,2,1.8244,2.4532,2.123,0.258,U,U,92,92
2302,U-W,30,11,2.1953,2.8413,2.441,0.142,U,W,74,92
2303,U-Y,3,1,2.9404,2.957,2.95,0.007,U,Y,39,92
2304,Al-V,16,12,2.5695,2.8216,2.676,0.091,Al,V,13,23
2305,B-V,115,30,2.1337,2.6205,2.331,0.087,B,V,5,23
2306,C-V,2055,242,1.6739,2.3733,2.217,0.098,C,V,6,23
2307,Ca-V,9,9,3.0029,3.0911,3.058,0.031,Ca,V,20,23
2308,Cl-V,475,228,1.9261,2.5995,2.333,0.081,Cl,V,17,23
2309,F-V,852,210,1.6301,2.2874,1.946,0.102,F,V,9,23
2310,H-V,176,46,1.5384,1.8165,1.774,0.044,H,V,1,23
2311,K-V,2,1,2.0961,2.1112,2.104,0.008,K,V,19,23
2312,Li-V,1,1,1.7788,1.7788,1.779,0.0,Li,V,3,23
2313,Mg-V,26,24,2.799,3.0428,2.965,0.06,Mg,V,12,23
2314,N-V,3057,1157,1.5643,2.3954,2.085,0.152,N,V,7,23
2315,Na-V,8,6,2.2541,3.0619,2.82,0.299,Na,V,11,23
2316,O-V,41941,3956,1.3511,2.301,1.867,0.172,O,V,8,23
2317,P-V,205,87,2.1428,2.6899,2.48,0.099,P,V,15,23
2318,S-V,945,265,1.9006,2.6386,2.368,0.102,S,V,16,23
2319,Si-V,68,28,2.3588,2.7448,2.616,0.087,Si,V,14,23
2320,V-V,474,214,2.0227,2.879,2.778,0.123,V,V,23,23
2321,Ag-W,107,41,2.9119,3.1137,2.973,0.037,Ag,W,47,74
2322,Al-W,34,21,2.0507,2.9234,2.461,0.28,Al,W,13,74
2323,As-W,66,22,2.2394,2.9352,2.605,0.14,As,W,33,74
2324,B-W,128,37,2.0568,2.673,2.324,0.114,B,W,5,74
2325,Ba-W,78,41,2.275,3.0746,2.791,0.17,Ba,W,56,74
2326,Be-W,3,2,1.6369,1.6589,1.648,0.009,Be,W,4,74
2327,Br-W,225,54,2.3836,2.7624,2.584,0.068,Br,W,35,74
2328,C-W,13287,2073,1.5211,2.4424,2.154,0.15,C,W,6,74
2329,Ca-W,830,301,2.2237,3.1729,2.497,0.194,Ca,W,20,74
2330,Cd-W,9,6,2.3355,2.9232,2.51,0.229,Cd,W,48,74
2331,Ce-W,19,7,2.4707,3.4791,3.176,0.36,Ce,W,58,74
2332,Cl-W,1307,325,1.943,2.6919,2.413,0.087,Cl,W,17,74
2333,Co-W,87,46,2.0217,2.897,2.46,0.296,Co,W,27,74
2334,Cr-W,2,2,2.6293,2.674,2.652,0.022,Cr,W,24,74
2335,Cs-W,21,11,2.5767,3.3682,3.0,0.261,Cs,W,55,74
2336,Cu-W,447,186,2.027,2.907,2.611,0.193,Cu,W,29,74
2337,Dy-W,2,1,3.2829,3.3456,3.314,0.031,Dy,W,66,74
2338,Er-W,2,1,3.2053,3.2943,3.25,0.045,Er,W,68,74
2339,Eu-W,112,16,3.2113,3.7158,3.575,0.083,Eu,W,63,74
2340,F-W,230,68,1.6221,2.3805,1.973,0.151,F,W,9,74
2341,Fe-W,247,106,2.0258,2.9142,2.41,0.315,Fe,W,26,74
2342,Ga-W,4,3,2.5511,2.5921,2.58,0.017,Ga,W,31,74
2343,Gd-W,2,2,3.2673,3.3851,3.326,0.059,Gd,W,64,74
2344,Ge-W,65,52,2.2842,2.9704,2.603,0.128,Ge,W,32,74
2345,H-W,269,144,1.3415,2.0219,1.716,0.146,H,W,1,74
2346,Hf-W,8,6,3.028,3.1504,3.111,0.044,Hf,W,72,74
2347,Ho-W,4,2,3.1428,3.2999,3.231,0.065,Ho,W,67,74
2348,I-W,149,46,2.6971,2.9255,2.82,0.048,I,W,53,74
2349,In-W,4,3,2.2821,2.8716,2.697,0.241,In,W,49,74
2350,K-W,230,115,2.1643,3.0913,2.751,0.228,K,W,19,74
2351,La-W,24,15,2.467,3.4994,3.257,0.322,La,W,57,74
2352,Li-W,18,10,1.7124,2.2296,1.991,0.117,Li,W,3,74
2353,Lu-W,2,1,2.9292,2.9303,2.93,0.001,Lu,W,71,74
2354,Mg-W,49,32,2.1844,3.0845,2.398,0.261,Mg,W,12,74
2355,Mn-W,89,39,2.0342,2.847,2.206,0.131,Mn,W,25,74
2356,Mo-W,63,38,2.1351,3.0393,2.76,0.224,Mo,W,42,74
2357,N-W,2877,1024,1.4968,2.4178,2.092,0.197,N,W,7,74
2358,Na-W,692,273,2.2153,3.1833,2.535,0.247,Na,W,11,74
2359,Nb-W,12,11,2.2402,3.0784,2.614,0.262,Nb,W,41,74
2360,Nd-W,13,4,2.513,3.4384,2.972,0.32,Nd,W,60,74
2361,Ni-W,41,22,2.0202,2.855,2.504,0.314,Ni,W,28,74
2362,O-W,163803,3548,1.5505,2.3954,1.933,0.178,O,W,8,74
2363,P-W,1887,849,2.0829,2.7767,2.498,0.061,P,W,15,74
2364,Pd-W,28,12,2.7262,2.9611,2.869,0.06,Pd,W,46,74
2365,Rb-W,17,8,2.5219,3.2368,2.925,0.174,Rb,W,37,74
2366,Rh-W,24,13,2.7195,2.9148,2.811,0.073,Rh,W,45,74
2367,Ru-W,48,28,2.5175,2.9997,2.816,0.158,Ru,W,44,74
2368,S-W,3036,644,1.9378,2.7865,2.362,0.112,S,W,16,74
2369,Sb-W,27,11,2.6969,2.9828,2.761,0.072,Sb,W,51,74
2370,Se-W,280,72,2.2522,2.7467,2.468,0.106,Se,W,34,74
2371,Si-W,139,98,1.9796,2.8804,2.555,0.164,Si,W,14,74
2372,Sm-W,2,2,3.1025,3.4383,3.27,0.168,Sm,W,62,74
2373,Sn-W,64,50,2.6889,3.1268,2.816,0.097,Sn,W,50,74
2374,Sr-W,138,49,2.0441,2.8557,2.555,0.171,Sr,W,38,74
2375,Tb-W,3,2,3.2039,3.4066,3.306,0.083,Tb,W,65,74
2376,Te-W,112,17,2.6263,3.0562,2.75,0.067,Te,W,52,74
2377,Ti-W,18,10,1.8282,2.5355,2.199,0.213,Ti,W,22,74
2378,V-W,5,4,2.3557,2.892,2.505,0.196,V,W,23,74
2379,W-W,2727,854,2.1335,3.0678,2.756,0.217,W,W,74,74
2380,W-Y,52,17,2.3247,3.3372,2.659,0.351,W,Y,39,74
2381,W-Zn,54,26,2.0917,2.9539,2.309,0.298,W,Zn,30,74
2382,C-Xe,10,8,2.0578,2.1043,2.081,0.017,C,Xe,6,54
2383,Cl-Xe,1,1,1.9222,1.9222,1.922,0.0,Cl,Xe,17,54
2384,F-Xe,361,91,1.7453,2.3925,1.939,0.114,F,Xe,9,54
2385,N-Xe,5,5,2.0441,2.2361,2.102,0.068,N,Xe,7,54
2386,Na-Xe,7,3,2.3249,3.1842,2.876,0.321,Na,Xe,11,54
2387,O-Xe,80,31,1.5585,2.2234,1.859,0.147,O,Xe,8,54
2388,Al-Y,112,72,2.2575,3.1975,3.057,0.101,Al,Y,13,39
2389,As-Y,5,4,2.893,3.1345,2.981,0.094,As,Y,33,39
2390,B-Y,336,105,2.0917,2.8735,2.697,0.104,B,Y,5,39
2391,Br-Y,16,5,2.6924,2.9691,2.836,0.074,Br,Y,35,39
2392,C-Y,5056,783,2.0032,2.9489,2.644,0.146,C,Y,6,39
2393,Ca-Y,7,7,3.26,3.4306,3.373,0.061,Ca,Y,20,39
2394,Cl-Y,416,156,2.531,3.0346,2.672,0.085,Cl,Y,17,39
2395,Co-Y,101,61,2.748,3.1714,2.955,0.101,Co,Y,27,39
2396,Cr-Y,3,3,3.0827,3.1255,3.11,0.019,Cr,Y,24,39
2397,Cu-Y,94,89,2.5596,3.1859,3.108,0.13,Cu,Y,29,39
2398,F-Y,645,112,1.8626,2.5939,2.29,0.099,F,Y,9,39
2399,Fe-Y,132,75,2.4737,3.18,3.032,0.113,Fe,Y,26,39
2400,Ga-Y,86,47,2.603,3.2736,3.072,0.128,Ga,Y,31,39
2401,Ge-Y,130,53,2.8184,3.2351,3.039,0.104,Ge,Y,32,39
2402,H-Y,242,66,1.5802,2.1827,2.089,0.086,H,Y,1,39
2403,Mg-Y,19,19,2.9152,3.4067,3.321,0.104,Mg,Y,12,39
2404,Mn-Y,45,34,2.8832,3.184,3.077,0.085,Mn,Y,25,39
2405,N-Y,3063,882,2.0215,2.6888,2.404,0.12,N,Y,7,39
2406,Na-Y,27,23,2.8493,3.4531,3.341,0.124,Na,Y,11,39
2407,Ni-Y,116,52,2.2558,3.155,2.926,0.151,Ni,Y,28,39
2408,O-Y,10796,2138,1.8847,2.6665,2.35,0.104,O,Y,8,39
2409,P-Y,127,63,2.7001,3.0556,2.943,0.075,P,Y,15,39
2410,S-Y,377,80,2.5081,3.0455,2.822,0.094,S,Y,16,39
2411,Se-Y,114,25,2.6543,3.1739,2.91,0.106,Se,Y,34,39
2412,Si-Y,125,69,2.7299,3.115,3.001,0.091,Si,Y,14,39
2413,Ti-Y,3,2,2.1222,2.5382,2.355,0.173,Ti,Y,22,39
2414,V-Y,7,6,3.0276,3.2308,3.106,0.072,V,Y,23,39
2415,Y-Y,654,201,2.5118,3.6097,3.327,0.295,Y,Y,39,39
2416,Y-Zn,39,19,2.7882,3.2777,3.09,0.109,Y,Zn,30,39
2417,Ag-Yb,30,20,2.7206,3.4201,3.239,0.142,Ag,Yb,47,70
2418,Al-Yb,102,46,2.7849,3.2317,3.101,0.096,Al,Yb,13,70
2419,As-Yb,14,9,2.7373,3.109,2.964,0.1,As,Yb,33,70
2420,B-Yb,65,34,2.2909,2.7989,2.62,0.123,B,Yb,5,70
2421,Ba-Yb,4,4,3.35,3.4219,3.395,0.028,Ba,Yb,56,70
2422,Br-Yb,7,6,2.7744,3.1371,2.906,0.11,Br,Yb,35,70
2423,C-Yb,3517,490,2.3032,2.957,2.66,0.105,C,Yb,6,70
2424,Ca-Yb,6,5,3.201,3.4265,3.312,0.083,Ca,Yb,20,70
2425,Cd-Yb,18,7,2.9288,3.5543,3.352,0.163,Cd,Yb,48,70
2426,Cl-Yb,232,107,2.3729,3.0672,2.645,0.116,Cl,Yb,17,70
2427,Co-Yb,19,11,2.4393,3.1323,2.949,0.164,Co,Yb,27,70
2428,Cr-Yb,1,1,3.108,3.108,3.108,0.0,Cr,Yb,24,70
2429,Cs-Yb,3,2,3.7517,3.7748,3.76,0.01,Cs,Yb,55,70
2430,Cu-Yb,43,32,2.6002,3.213,3.095,0.133,Cu,Yb,29,70
2431,Eu-Yb,1,1,3.6142,3.6142,3.614,0.0,Eu,Yb,63,70
2432,F-Yb,273,47,2.0179,2.6248,2.254,0.103,F,Yb,9,70
2433,Fe-Yb,48,25,2.3145,3.1937,2.925,0.262,Fe,Yb,26,70
2434,Ga-Yb,83,32,2.7717,3.3251,3.143,0.116,Ga,Yb,31,70
2435,Ge-Yb,139,46,2.2885,3.2643,3.004,0.192,Ge,Yb,32,70
2436,H-Yb,28,14,1.6634,2.2166,2.102,0.144,H,Yb,1,70
2437,I-Yb,55,33,2.8872,3.3337,3.048,0.087,I,Yb,53,70
2438,In-Yb,38,25,3.0947,3.5224,3.317,0.105,In,Yb,49,70
2439,La-Yb,3,3,3.3553,3.4977,3.45,0.067,La,Yb,57,70
2440,Mg-Yb,4,4,3.2414,3.4414,3.37,0.077,Mg,Yb,12,70
2441,Mn-Yb,10,7,2.741,3.2186,3.077,0.143,Mn,Yb,25,70
2442,Mo-Yb,1,1,2.822,2.822,2.822,0.0,Mo,Yb,42,70
2443,N-Yb,2709,740,2.1022,2.7581,2.422,0.116,N,Yb,7,70
2444,Na-Yb,13,10,3.207,3.4906,3.409,0.08,Na,Yb,11,70
2445,Ni-Yb,52,31,2.5157,3.1923,2.902,0.174,Ni,Yb,28,70
2446,O-Yb,7894,1240,1.8971,2.7015,2.322,0.099,O,Yb,8,70
2447,P-Yb,53,27,2.1716,3.0844,2.885,0.173,P,Yb,15,70
2448,Pd-Yb,28,24,2.7954,3.2924,3.019,0.156,Pd,Yb,46,70
2449,Rh-Yb,15,12,2.8505,3.2336,3.011,0.097,Rh,Yb,45,70
2450,Ru-Yb,6,5,3.113,3.2208,3.153,0.034,Ru,Yb,44,70
2451,S-Yb,368,102,2.5569,3.0424,2.746,0.106,S,Yb,16,70
2452,Sb-Yb,233,57,2.802,3.4655,3.209,0.102,Sb,Yb,51,70
2453,Se-Yb,157,38,2.6857,3.1035,2.826,0.073,Se,Yb,34,70
2454,Si-Yb,93,51,2.819,3.1497,3.031,0.095,Si,Yb,14,70
2455,Sn-Yb,49,23,2.8435,3.4544,3.23,0.15,Sn,Yb,50,70
2456,Sr-Yb,1,1,3.1735,3.1735,3.174,0.0,Sr,Yb,38,70
2457,Te-Yb,8,8,3.17,3.3906,3.253,0.096,Te,Yb,52,70
2458,V-Yb,10,10,3.0168,3.2752,3.064,0.075,V,Yb,23,70
2459,Y-Yb,3,2,3.0592,3.5466,3.253,0.211,Y,Yb,39,70
2460,Yb-Yb,210,132,2.595,3.6813,3.488,0.197,Yb,Yb,70,70
2461,Yb-Zn,40,16,2.4612,3.2924,3.103,0.154,Yb,Zn,30,70
2462,Al-Zn,66,17,2.4877,2.8668,2.649,0.136,Al,Zn,13,30
2463,B-Zn,41,13,1.744,2.517,2.291,0.16,B,Zn,5,30
2464,C-Zn,2088,787,1.8532,2.3836,2.072,0.135,C,Zn,6,30
2465,Ca-Zn,18,8,2.4797,3.1265,2.962,0.159,Ca,Zn,20,30
2466,Cl-Zn,4051,1487,1.8682,2.6409,2.256,0.06,Cl,Zn,17,30
2467,Co-Zn,29,14,2.3996,2.7244,2.551,0.092,Co,Zn,27,30
2468,Cr-Zn,97,15,2.5038,2.8625,2.626,0.069,Cr,Zn,24,30
2469,Cu-Zn,87,27,2.005,2.8473,2.65,0.126,Cu,Zn,29,30
2470,F-Zn,439,172,1.749,2.3183,2.036,0.079,F,Zn,9,30
2471,Fe-Zn,76,17,2.3692,2.8284,2.572,0.102,Fe,Zn,26,30
2472,H-Zn,116,65,1.2912,1.9084,1.683,0.138,H,Zn,1,30
2473,Li-Zn,6,5,1.7184,2.1597,1.875,0.158,Li,Zn,3,30
2474,Mg-Zn,412,39,2.195,3.0794,2.979,0.122,Mg,Zn,12,30
2475,Mn-Zn,13,8,2.2488,2.8332,2.671,0.137,Mn,Zn,25,30
2476,N-Zn,33543,9807,1.7026,2.3597,2.082,0.08,N,Zn,7,30
2477,Na-Zn,46,38,2.8271,3.1265,3.021,0.088,Na,Zn,11,30
2478,Ni-Zn,179,29,2.2851,2.8245,2.533,0.122,Ni,Zn,28,30
2479,O-Zn,47684,10448,1.6266,2.3363,2.023,0.091,O,Zn,8,30
2480,P-Zn,160,94,2.2055,2.6901,2.426,0.077,P,Zn,15,30
2481,S-Zn,2782,750,2.1284,2.6756,2.354,0.074,S,Zn,16,30
2482,Si-Zn,76,39,2.3469,2.7689,2.49,0.124,Si,Zn,14,30
2483,Ti-Zn,1,1,2.1376,2.1376,2.138,0.0,Ti,Zn,22,30
2484,V-Zn,3,3,2.5348,2.7214,2.659,0.088,V,Zn,23,30
2485,Zn-Zn,2690,471,2.0539,2.9497,2.692,0.154,Zn,Zn,30,30
2486,B-Zr,346,127,2.078,2.6246,2.473,0.105,B,Zr,5,40
2487,Br-Zr,135,31,2.2468,2.8877,2.672,0.103,Br,Zr,35,40
2488,C-Zr,14602,1582,2.133,2.62,2.495,0.088,C,Zr,6,40
2489,Cl-Zr,2095,722,1.9679,2.746,2.489,0.077,Cl,Zr,17,40
2490,Co-Zr,2,1,2.1394,2.1468,2.143,0.004,Co,Zr,27,40
2491,F-Zr,1171,228,1.5492,2.3298,2.067,0.107,F,Zr,9,40
2492,K-Zr,4,2,2.3844,2.4596,2.422,0.033,K,Zr,19,40
2493,N-Zr,3368,1177,1.2773,2.3599,2.16,0.105,N,Zr,7,40
2494,Na-Zr,2,1,2.4171,2.4341,2.426,0.009,Na,Zr,11,40
2495,O-Zr,10322,1980,1.392,2.334,2.121,0.107,O,Zr,8,40
2496,P-Zr,567,268,2.4813,2.9919,2.801,0.098,P,Zr,15,40
2497,S-Zr,334,122,1.9776,2.8718,2.64,0.114,S,Zr,16,40
2498,Se-Zr,167,39,1.6263,2.9201,2.719,0.147,Se,Zr,34,40
2499,Si-Zr,2,2,1.6635,1.8324,1.748,0.084,Si,Zr,14,40
2500,Zr-Zr,3,3,1.4588,1.8743,1.717,0.184,Zr,Zr,40,40
