,element,count,ncif,min,max,mean,stddev,e1,e2,z1,z2
1506,Nb-Pd,15,7,2.2662,3.0108,2.82,0.176,Nb,Pd,41,46
1507,Ni-Pd,136,10,2.4618,2.8478,2.669,0.073,Ni,Pd,28,46
1508,O-Pd,5321,1795,1.667,2.3634,2.053,0.07,O,Pd,8,46
1509,P-Pd,7103,3480,2.0589,2.7527,2.301,0.087,P,Pd,15,46
1510,Pd-Pd,1936,553,2.2513,3.0205,2.805,0.111,Pd,Pd,46,46
1511,Pd-Rb,1,1,3.2355,3.2355,3.236,0.0,Pd,Rb,37,46
1512,Pd-Rh,9,8,2.8298,2.9776,2.893,0.068,Pd,Rh,45,46
1513,Pd-Ru,59,21,2.49,2.9659,2.803,0.077,Pd,Ru,44,46
1514,Pd-S,3085,1177,1.9071,2.6758,2.31,0.055,Pd,S,16,46
1515,Pd-Se,316,134,2.3342,2.8739,2.445,0.074,Pd,Se,34,46
1516,Pd-Si,151,100,2.2181,2.7924,2.394,0.098,Pd,Si,14,46
1517,Pd-V,8,6,2.6922,2.805,2.717,0.035,Pd,V,23,46
1518,Pd-Y,33,23,2.8687,3.2705,3.009,0.126,Pd,Y,39,46
1519,Pd-Zn,197,24,2.3689,2.9049,2.611,0.107,Pd,Zn,30,46
1520,Pd-Zr,1,1,1.949,1.949,1.949,0.0,Pd,Zr,40,46
1521,O-Pm,5,3,2.3518,2.666,2.469,0.122,O,Pm,8,61
1522,Br-Po,3,3,2.5968,2.8,2.678,0.088,Br,Po,35,84
1523,Cd-Po,1,1,2.886,2.886,2.886,0.0,Cd,Po,48,84
1524,Cl-Po,2,2,2.3759,2.8386,2.607,0.231,Cl,Po,17,84
1525,Dy-Po,1,1,3.107,3.107,3.107,0.0,Dy,Po,66,84
1526,Eu-Po,1,1,3.36,3.36,3.36,0.0,Eu,Po,63,84
1527,Hf-Po,1,1,2.8826,2.8826,2.883,0.0,Hf,Po,72,84
